country_brewery,Ale,Amber Ale,Bock,Brown/Dark Ale,Cocktails,Dark Lager,Herbs/Vegetables,Hybrid Beer,IPA,Pale Ale,Pilsner & Pale Lager,Porter,Stout,Strong Ale,Strong Brown/Dark Ale,Strong Pale Ale,Wheat Beer,Wild/Sour Beer
Argentina,,,,,,85.0,,,,129.0,534.0,,185.0,,,,,
Australia,,,,,,,,,2252.0,5635.0,4420.0,,1642.0,,,,,
Austria,,,2679.0,,,1421.0,,,,,3247.0,,,,,,907.0,
Belarus,,,,,,63.0,,,,,201.0,40.0,,,,,69.0,
Belgium,,,,,,,,,,,,,,37607.0,27128.0,31228.0,,55037.0
Brazil,,,,,,935.0,,,510.0,,1222.0,,,,,,442.0,
Bulgaria,,,,,,94.0,34.0,,,31.0,359.0,,,,,,,
Canada,,,,,,,,,15352.0,15596.0,10527.0,,14088.0,,,,,
Chile,,69.0,,,,,,,,193.0,230.0,,124.0,,,,,
China,,,,,,,,,89.0,85.0,2097.0,,101.0,,,,,
Colombia,,,,,,41.0,,,,25.0,295.0,28.0,,,,,,
Costa Rica,,,,,,68.0,23.0,,,36.0,456.0,,,,,,,
Croatia,,,,,,292.0,,,150.0,205.0,799.0,,,,,,,
Czech Republic,,,,,,4519.0,777.0,,1555.0,,11166.0,,,,,,,
Denmark,,,,,,,,,9795.0,5888.0,7250.0,,11267.0,,,,,
Ecuador,,,,,,,,,13.0,17.0,80.0,,24.0,,,,,
Estonia,,,,,,,,,1224.0,,1063.0,881.0,712.0,,,,,
Finland,,,,,,,1827.0,,1618.0,1564.0,1945.0,,,,,,,
France,,,,,,,1674.0,5131.0,,1596.0,2894.0,,,,,,,
Georgia,,,,,3.0,20.0,,,,,141.0,6.0,,,,,,
Germany,,,18506.0,,,22089.0,,,,,44548.0,,,,,,39834.0,
Greece,,,,,,151.0,,,189.0,183.0,1083.0,,,,,,,
Hong Kong,,,,22.0,,,,,59.0,60.0,114.0,,,,,,,
Hungary,,,,,,265.0,240.0,,396.0,,839.0,,,,,,,
India,,,,,258.0,,22.0,,,,1330.0,,,,,,28.0,
Ireland,1800.0,1834.0,,,,,,,,,1885.0,,10157.0,,,,,
Israel,,,,,,,,,240.0,215.0,,154.0,174.0,,,,,
Italy,,,,,,,,,2666.0,3419.0,4120.0,,,,,,,1993.0
Japan,,,,,,,1410.0,,,,4891.0,,1441.0,,,,1484.0,
Kazakhstan,,,,,5.0,8.0,,,,,76.0,,,,,,4.0,
Latvia,,,,,,258.0,205.0,,,,830.0,411.0,,,,,,
Lithuania,288.0,,,,,308.0,,,,,1543.0,,,,,,343.0,
Mexico,,,,,,3059.0,,,393.0,597.0,7421.0,,,,,,,
Netherlands,,,,,,,,,5044.0,,8034.0,,5580.0,,4906.0,,,
New Zealand,,,,,,,,,2554.0,2331.0,1903.0,,1222.0,,,,,
Norway,,,,,,,,,4974.0,3583.0,2328.0,,6825.0,,,,,
Peru,,,,,,93.0,,,,32.0,417.0,28.0,,,,,,
Philippines,,,,,57.0,157.0,,,44.0,,621.0,,,,,,,
Poland,,,,,,,,,8731.0,,7310.0,4049.0,5242.0,,,,,
Portugal,,,,,,317.0,,,129.0,,764.0,,132.0,,,,,
Romania,,,,,,95.0,,,135.0,,601.0,,,,,,58.0,
Russia,,,,,,602.0,,,455.0,,2858.0,729.0,,,,,,
Serbia,,,,,,,64.0,,146.0,126.0,358.0,,,,,,,
Singapore,,,,,,,,,64.0,110.0,697.0,,115.0,,,,,
Slovak Republic,,,,,,545.0,,,574.0,217.0,1132.0,,,,,,,
Slovenia,,,,,,141.0,,,236.0,107.0,552.0,,,,,,,
South Africa,,,,,,,,,104.0,272.0,447.0,,160.0,,,,,
South Korea,,,,,,66.0,,,50.0,62.0,645.0,,,,,,,
Spain,,,,,,,,,2576.0,2337.0,3326.0,,1554.0,,,,,
Sweden,,,,,,,,,8107.0,6268.0,4794.0,,4181.0,,,,,
Switzerland,,,,,,,729.0,,,895.0,1192.0,,,,,,,926.0
Taiwan,,,,,,,,,17.0,18.0,244.0,,,,,,38.0,
Thailand,,,,,,,,,77.0,26.0,1629.0,,,,,,41.0,
Ukraine,,,,,,190.0,,,,,1096.0,122.0,,,,,209.0,
United Kingdom,21136.0,,,,,,,,20289.0,94076.0,,,29847.0,,,,,
United States,,,,,,,,,514588.0,257011.0,,118618.0,376221.0,,,,,
Vietnam,,,,,,61.0,,,20.0,20.0,716.0,,,,,,,
