,Countries,Used,iso
0,Gabon,NO,GAB
1,United Kingdom,YES,GBR
2,United States,YES,USA
3,Singapore,YES,SGP
4,China,YES,CHN
5,Chad,NO,TCD
6,Cameroon,NO,CMR
7,Burkina Faso,NO,BFA
8,Zambia,NO,ZMB
9,Romania,YES,ROU
10,Nigeria,NO,NGA
11,Georgia,YES,GEO
12,Hong Kong,YES,HKG
13,Guinea,NO,GIN
14,Kyrgyzstan,NO,KGZ
15,Montenegro,NO,MNE
16,Benin,NO,BEN
17,Croatia,YES,HRV
18,Turks and Caicos Islands,NO,TCA
19,Mexico,YES,MEX
20,Northern Marianas,NO,MNP
21,Guam,NO,GUM
22,Laos,NO,LAO
23,Honduras,NO,HND
24,Morocco,NO,MAR
25,Indonesia,NO,IDN
26,Monaco,NO,MCO
27,Ukraine,YES,UKR
28,Canada,YES,CAN
29,Jordan,NO,JOR
30,South Ossetia,NO,ATA
31,Portugal,YES,PRT
32,Guernsey,NO,GGY
33,India,YES,IND
34,Puerto Rico,NO,PRI
35,Japan,YES,JPN
36,Iran,NO,IRN
37,Hungary,YES,HUN
38,Bulgaria,YES,BGR
39,Guinea-Bissau,NO,GNB
40,Liberia,NO,LBR
41,Togo,NO,TGO
42,Niger,NO,NER
43,Lithuania,YES,LTU
44,Dem Rep of Congo,NO,COD
45,Cyprus,NO,CYP
46,Nagorno-Karabakh,NO,AZD
47,Italy,YES,ITA
48,Andorra,NO,AND
49,Botswana,NO,BWA
50,Papua New Guinea,NO,PNG
51,Mongolia,NO,MNG
52,Ethiopia,NO,ETH
53,Denmark,YES,DNK
54,French Polynesia,NO,PYF
55,Greece,YES,GRC
56,Sri Lanka,NO,LKA
57,Syria,NO,SYR
58,Germany,YES,DEU
59,Jersey,NO,JEY
60,Armenia,NO,ARM
61,Mozambique,NO,MOZ
62,Senegal,NO,SEN
63,Palestine,NO,PSE
64,Transdniestra,NO,PMD
65,Bangladesh,NO,BGD
66,Saint Vincent and The Grenadines,NO,VCT
67,Turkmenistan,NO,TKM
68,Eritrea,NO,ERI
69,Switzerland,YES,CHE
70,Malta,NO,MLT
71,Israel,YES,ISR
72,El Salvador,NO,SLV
73,French Guiana,NO,GUF
74,Tonga,NO,TON
75,Zimbabwe,NO,ZWE
76,Samoa,NO,WSM
77,Barbados,NO,BRB
78,Chile,YES,CHL
79,Cambodia,NO,KHM
80,Cook Islands,NO,COK
81,Trinidad & Tobago,NO,TTO
82,Bhutan,NO,BTN
83,Uzbekistan,NO,UZB
