style,Ale,Amber Ale,Bock,Brown/Dark Ale,Cocktails,Dark Lager,Herbs/Vegetables,Hybrid Beer,IPA,Low Alcohol,Pale Ale,Pilsner & Pale Lager,Porter,Smoked,Stout,Strong Ale,Strong Brown/Dark Ale,Strong Pale Ale,Wheat Beer,Wild/Sour Beer
Abbey Dubbel,,,,68201.0,,,,,,,,,,,,,,,,
Abbey Tripel,,,,,,,,,,,,,,,,,,110402.0,,
Abt/Quadrupel,,,,,,,,,,,,,,,,,61003.0,,,
Altbier,,,,,,,,52443.0,,,,,,,,,,,,
Amber Ale,,131428.0,,,,,,,,,,,,,,,,,,
Amber Lager/Vienna,,,,,,77050.0,,,,,,,,,,,,,,
American Adjunct Lager,,,,,,,,,,,,83963.0,,,,,,,,
American Amber / Red Ale,,181154.0,,,,,,,,,,,,,,,,,,
American Amber / Red Lager,,,,,,35455.0,,,,,,,,,,,,,,
American Barleywine,,,,,,,,,,,,,,,,,92263.0,,,
American Blonde Ale,,,,,,,,,,,61367.0,,,,,,,,,
American Brown Ale,,,,114024.0,,,,,,,,,,,,,,,,
American Dark Wheat Ale,,,,,,,,,,,,,,,,,,,5010.0,
American Double / Imperial IPA,,,,,,,,,652086.0,,,,,,,,,,,
American Double / Imperial Pilsner,,,,,,,,,,,,23306.0,,,,,,,,
American Double / Imperial Stout,,,,,,,,,,,,,,,449375.0,,,,,
American Malt Liquor,,,,,11614.0,,,,,,,,,,,,,,,
American Pale Ale,,,,,,,,,,,276315.0,,,,,,,,,
American Pale Ale (APA),,,,,,,,,,,348549.0,,,,,,,,,
American Pale Lager,,,,,,,,,,,,56336.0,,,,,,,,
American Pale Wheat Ale,,,,,,,,,,,,,,,,,,,94330.0,
American Porter,,,,,,,,,,,,,231923.0,,,,,,,
American Strong Ale,,,,,,,,,,,,,,,,209425.0,,,,
American Wild Ale,,,,,,,,,,,,,,,,,,,,246703.0
Baltic Porter,,,,,,,,,,,,,86311.0,,,,,,,
Barley Wine,,,,,,,,,,,,,,,,,136216.0,,,
Belgian Ale,180276.0,,,,,,,,,,,,,,,,,,,
Belgian Dark Ale,,,,16525.0,,,,,,,,,,,,,,,,
Belgian IPA,,,,,,,,,67024.0,,,,,,,,,,,
Belgian Pale Ale,,,,,,,,,,,81993.0,,,,,,,,,
Belgian Strong Ale,,,,,,,,,,,,,,,,246322.0,,,,
Belgian Strong Dark Ale,,,,,,,,,,,,,,,,,111098.0,,,
Belgian Strong Pale Ale,,,,,,,,,,,,,,,,,,97522.0,,
Berliner Weissbier,,,,,,,,,,,,,,,,,,,60057.0,
Berliner Weisse,,,,,,,,,,,,,,,,,,,44232.0,
Bitter,,,,,,,,,,,144093.0,,,,,,,,,
Bière de Champagne / Bière Brut,,,,,3018.0,,,,,,,,,,,,,,,
Bière de Garde,,,,,,,,54527.0,,,,,,,,,,,,
Black & Tan,,,,,,,,5837.0,,,,,,,,,,,,
Black IPA,,,,,,,,,79708.0,,,,,,,,,,,
Bock,,,30959.0,,,,,,,,,,,,,,,,,
Braggot,,,,,,,,3773.0,,,,,,,,,,,,
Brown Ale,,,,119810.0,,,,,,,,,,,,,,,,
California Common,,,,,,,,14226.0,,,,,,,,,,,,
California Common / Steam Beer,,,,,,,,12390.0,,,,,,,,,,,,
Chile Beer,,,,,,,14047.0,,,,,,,,,,,,,
Cider,,,,,,,11588.0,,,,,,,,,,,,,
Cream Ale,,,,,,,,44421.0,,,,,,,,,,,,
Czech Pilsener,,,,,,,,,,,,50585.0,,,,,,,,
Czech Pilsner (Světlý),,,,,,,,,,,,58481.0,,,,,,,,
Doppelbock,,,114705.0,,,,,,,,,,,,,,,,,
Dortmunder / Export Lager,,,,,,,,,,,,12003.0,,,,,,,,
Dortmunder/Helles,,,,,,,,,,,,67876.0,,,,,,,,
Dry Stout,,,,,,,,,,,,,,,57538.0,,,,,
Dubbel,,,,56575.0,,,,,,,,,,,,,,,,
Dunkel/Tmavý,,,,,,71286.0,,,,,,,,,,,,,,
Dunkelweizen,,,,,,,,,,,,,,,,,,,51662.0,
Dunkler Bock,,,,,,39082.0,,,,,,,,,,,,,,
Eisbock,,,15237.0,,,,,,,,,,,,,,,,,
English Barleywine,,,,,,,,,,,,,,,,,61086.0,,,
English Bitter,,,,,,,,,,,23491.0,,,,,,,,,
English Brown Ale,,,,53581.0,,,,,,,,,,,,,,,,
English India Pale Ale (IPA),,,,,,,,,,,56544.0,,,,,,,,,
English Pale Ale,,,,,,,,,,,109513.0,,,,,,,,,
English Pale Mild Ale,,,,,,,,,,,2241.0,,,,,,,,,
English Porter,,,,,,,,,,,,,36944.0,,,,,,,
English Stout,,,,,,,,,,,,,,,15306.0,,,,,
English Strong Ale,,,,,,,,,,,,,,,,89835.0,,,,
Euro Dark Lager,,,,,,16759.0,,,,,,,,,,,,,,
Euro Pale Lager,,,,,,,,,,,,47257.0,,,,,,,,
Euro Strong Lager,,,,,,,,,,,,5691.0,,,,,,,,
Extra Special / Strong Bitter (ESB),,,,,,,,,,,45749.0,,,,,,,,,
Flanders Oud Bruin,,,,,,,,,,,,,,,,,,,,26493.0
Foreign Stout,,,,,,,,,,,,,,,26515.0,,,,,
Fruit / Vegetable Beer,,,,,,,148638.0,,,,,,,,,,,,,
Fruit Beer,,,,,,,128964.0,,,,,,,,,,,,,
German Hefeweizen,,,,,,,,,,,,,,,,,,,127674.0,
German Kristallweizen,,,,,,,,,,,,,,,,,,,9329.0,
German Pilsener,,,,,,,,,,,,75197.0,,,,,,,,
Golden Ale/Blond Ale,,,,,,,,,,,174653.0,,,,,,,,,
Gose,,,,,,,,,,,,,,,,,,,,38856.0
Grodziskie/Gose/Lichtenhainer,,,,,,,,,,,,,,,,,,,,33310.0
Gueuze,,,,,,,,,,,,,,,,,,,,32942.0
Happoshu,,,,,,,,,,572.0,,,,,,,,,,
Hefeweizen,,,,,,,,,,,,,,,,,,,88591.0,
Heller Bock,,,41046.0,,,,,,,,,,,,,,,,,
Herbed / Spiced Beer,,,,,,,47356.0,,,,,,,,,,,,,
Imperial IPA,,,,,,,,,262409.0,,,,,,,,,,,
Imperial Pils/Strong Pale Lager,,,,,,,,,,,,38998.0,,,,,,,,
Imperial Porter,,,,,,,,,,,,,46525.0,,,,,,,
Imperial Stout,,,,,,,,,,,,,,,339754.0,,,,,
India Pale Ale (IPA),,,,,,,,,1420504.0,,,,,,,,,,,
India Style Lager,,,,,,,,,,,,17959.0,,,,,,,,
Irish Ale,28136.0,,,,,,,,,,,,,,,,,,,
Irish Dry Stout,,,,,,,,,,,,,,,34728.0,,,,,
Irish Red Ale,,25824.0,,,,,,,,,,,,,,,,,,
Japanese Rice Lager,,,,,,,,,,,,3389.0,,,,,,,,
Kellerbier / Zwickelbier,,,,,,,,,,,,10998.0,,,,,,,,
Kristalweizen,,,,,,,,,,,,,,,,,,,6703.0,
Kölsch,,,,,,,,71175.0,,,,,,,,,,,,
Lambic - Fruit,,,,,,,,,,,,,,,,,,,,50149.0
Lambic - Unblended,,,,,,,,,,,,,,,,,,,,6200.0
Lambic Style - Faro,,,,,,,,,,,,,,,,,,,,6395.0
Lambic Style - Fruit,,,,,,,,,,,,,,,,,,,,54259.0
Lambic Style - Gueuze,,,,,,,,,,,,,,,,,,,,34220.0
Lambic Style - Unblended,,,,,,,,,,,,,,,,,,,,9063.0
Light Lager,,,,,,,,,,,,47024.0,,,,,,,,
Low Alcohol,,,,,,,,,,34401.0,,,,,,,,,,
Low Alcohol Beer,,,,,,,,,,3500.0,,,,,,,,,,
Maibock / Helles Bock,,,28865.0,,,,,,,,,,,,,,,,,
Malt Liquor,,,,,18680.0,,,,,,,,,,,,,,,
Mead,,,,,,,5767.0,,,,,,,,,,,,,
Mild Ale,29318.0,,,,,,,,,,,,,,,,,,,
Milk / Sweet Stout,,,,,,,,,,,,,,,101193.0,,,,,
Munich Dunkel Lager,,,,,,18655.0,,,,,,,,,,,,,,
Munich Helles Lager,,,,,,,,,,,,28932.0,,,,,,,,
Märzen / Oktoberfest,,,,,,75823.0,,,,,,,,,,,,,,
Oatmeal Stout,,,,,,,,,,,,,,,74196.0,,,,,
Oktoberfest/Märzen,,,,,,67328.0,,,,,,,,,,,,,,
Old Ale,93316.0,,,,,,,,,,,,,,,,,,,
Pale Lager,,,,,,,,,,,,255679.0,,,,,,,,
Perry,,,,,,,1897.0,,,,,,,,,,,,,
Pilsener,,,,,,,,,,,,146841.0,,,,,,,,
Polotmavý,,,,,,6511.0,,,,,,,,,,,,,,
Porter,,,,,,,,,,,,,187262.0,,,,,,,
Premium Bitter/ESB,,,,,,,,,,,112098.0,,,,,,,,,
Premium Lager,,,,,,,,,,,,61005.0,,,,,,,,
Pumpkin Ale,,,,,,,84048.0,,,,,,,,,,,,,
Quadrupel (Quad),,,,,,,,,,,,,,,,,80234.0,,,
Radler/Shandy,,,,,,,,,,,,26963.0,,,,,,,,
Roggenbier,,,,,,,,,,,,,,,,,,,1801.0,
Russian Imperial Stout,,,,,,,,,,,,,,,230168.0,,,,,
Rye Beer,,,,,,,,41101.0,,,,,,,,,,,,
Sahti,,,,,,,3466.0,,,,,,,,,,,,,
Sahti/Gotlandsdricke/Koduõlu,,,,,,,3833.0,,,,,,,,,,,,,
Saison,,,,,,,,,,,476117.0,,,,,,,,,
Saké - Daiginjo,,,,,109.0,,,,,,,,,,,,,,,
Saké - Futsu-shu,,,,,50.0,,,,,,,,,,,,,,,
Saké - Genshu,,,,,47.0,,,,,,,,,,,,,,,
Saké - Ginjo,,,,,42.0,,,,,,,,,,,,,,,
Saké - Honjozo,,,,,17.0,,,,,,,,,,,,,,,
Saké - Infused,,,,,36.0,,,,,,,,,,,,,,,
Saké - Junmai,,,,,283.0,,,,,,,,,,,,,,,
Saké - Koshu,,,,,14.0,,,,,,,,,,,,,,,
Saké - Namasaké,,,,,4.0,,,,,,,,,,,,,,,
Saké - Nigori,,,,,77.0,,,,,,,,,,,,,,,
Saké - Taru,,,,,52.0,,,,,,,,,,,,,,,
Saké - Tokubetsu,,,,,8.0,,,,,,,,,,,,,,,
Schwarzbier,,,,,,160148.0,,,,,,,,,,,,,,
Scotch Ale,47267.0,,,,,,,,,,,,,,,,,,,
Scotch Ale / Wee Heavy,66947.0,,,,,,,,,,,,,,,,,,,
Scottish Ale,42757.0,,,,,,,,,,,,,,,,,,,
Scottish Gruit / Ancient Herbed Ale,,,,,,,7250.0,,,,,,,,,,,,,
Session IPA,,,,,,,,,58355.0,,,,,,,,,,,
Smoked,,,,,,,,,,,,,,79730.0,,,,,,
Smoked Beer,,,,,,,,,,,,,,23596.0,,,,,,
Sour Red/Brown,,,,,,,,,,,,,,,,,,,,91785.0
Sour/Wild Ale,,,,,,,,,,,,,,,,,,,,155383.0
Specialty Grain,,,,,,,98345.0,,,,,,,,,,,,,
Spice/Herb/Vegetable,,,,,,,159118.0,,,,,,,,,,,,,
Stout,,,,,,,,,,,,,,,262336.0,,,,,
Sweet Stout,,,,,,,,,,,,,,,82017.0,,,,,
Traditional Ale,35831.0,,,,,,,,,,,,,,,,,,,
Tripel,,,,,,,,,,,,,,,,,,101683.0,,
Vienna Lager,,,,,,31789.0,,,,,,,,,,,,,,
Weizen Bock,,,,,,,,,,,,,,,,,,,30871.0,
Weizenbock,,,,,,,,,,,,,,,,,,,24461.0,
Wheat Ale,,,,,,,,,,,,,,,,,,,74081.0,
Wheatwine,,,,,,,,,,,,,,,,,,,15321.0,
Witbier,,,,,,,,,,,,,,,,,,,209591.0,
Zwickel/Keller/Landbier,,,,,,,,,,,,43659.0,,,,,,,,
